m1,m2,a1,a2,DL,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt
491.86,449.747,0.973375,0.745094,172920.6704555116,15.4558,0.234655,0.170359,0.142978,6.07727e-07,8.196727196646565e-12
306.472,227.434,0.433035,0.690369,211205.8663580515,18.5077,0.0632781,0.149803,0.150908,1.50239e-06,2.1510902434237696e-11
491.435,417.019,0.997671,0.998,68615.52387415084,6.83815,0.283499,0.12684,0.156917,6.72286e-05,6.292856415766657e-10
362.7,323.537,0.283139,0.629824,140363.9226665418,12.8254,0.0332505,0.042406,0.0651325,4.13375e-06,5.2044629318920453e-11
437.75,352.44,0.816247,0.991639,102288.18417004557,9.69099,0.148971,0.0447843,0.106405,1.13688e-06,1.271176474440147e-11
382.709,330.177,0.905572,0.459315,105845.93057967056,9.98726,0.149331,0.0704959,0.0795668,8.64289e-06,9.797260197593358e-11
479.428,283.763,0.665085,0.545882,184789.23200166886,16.4061,0.103687,0.142921,0.159939,1.2937e-06,1.7809842530885842e-11
9606.29,6141.45,0.998,0.998,29885.389771438084,3.36847,0.0582467,0.165671,0.164791,1.19537e-05,6.833412137409612e-11
969.363,767.063,0.998,0.988052,55070.139810792505,5.65672,0.0585116,0.151021,0.150496,5.47354e-05,4.5756858934560064e-10
334.006,318.1,0.806112,0.749036,172518.18069291758,15.4235,0.239133,0.131935,0.114462,3.15477e-06,4.2518911784350245e-11
431.508,284.923,-0.334457,0.865473,197618.0838380432,17.4289,0.137003,0.0527777,0.111857,1.99125e-06,2.796768108465966e-11
581.915,424.973,0.951065,0.998,156076.60993692547,14.0996,0.1133,0.0898229,0.169348,9.16675e-07,1.196289463549329e-11
10206.7,470.493,0.998,0.899039,45403.70396476994,4.7959,0.0524783,0.143919,0.0914826,3.60586e-06,2.7028739286593e-11
363.705,261.464,0.915353,0.0622551,118007.08777371881,10.9942,0.140855,0.131241,0.124844,1.28958e-06,1.5247478548226818e-11
16812.1,502.717,0.998,0.795756,56686.2169605606,5.79905,0.18552,0.0499687,0.136908,3.15477e-06,2.67856574555333e-11
676.208,482.983,0.998,0.998,102138.4148011789,9.6785,0.0760751,0.109826,0.140798,5.48814e-06,6.132803263482286e-11
2531.47,762.69,0.998,0.998,76212.36914528508,7.49083,0.0227974,0.0843932,0.106803,1.4155e-05,1.392953554704007e-10
681.251,341.663,0.998,0.998,140497.8282984901,12.8363,0.108686,0.120768,0.131353,1.2937e-06,1.6293297598834263e-11
384.014,319.336,0.596264,0.826993,91559.43089978123,8.79232,0.0154013,0.14146,0.127569,2.40093e-05,2.5638381287280883e-10
583.696,541.025,0.38832,0.863542,172306.3688444333,15.4065,0.11611,0.144459,0.0303743,1.09481e-06,1.474978396499433e-11
1214.15,686.582,0.997935,0.998,91684.32502674221,8.80283,0.0545002,0.0449891,0.0678502,1.4689e-06,1.5694793340997447e-11
390.175,315.069,0.722832,0.980792,150290.77215401654,13.6315,0.134046,0.0391292,0.173111,9.16675e-07,1.1813496157664044e-11
1766.93,369.141,0.998,0.990067,61453.19264910946,6.21659,0.112274,0.134366,0.0838508,2.40093e-05,2.1265738238059895e-10
684.683,332.742,0.997994,0.657347,98602.07834578703,9.38315,0.14139,0.169384,0.153218,1.4155e-05,1.5591930302277844e-10
802.22,360.59,0.998,0.998,57058.39081484303,5.83177,0.198852,0.156444,0.04625,3.60586e-06,3.0722570877200995e-11
1871.14,364.33,0.998,0.839238,85127.08075943656,8.24934,0.139293,0.145283,0.168472,8.64289e-06,8.942297357925962e-11
516.5,412.092,0.946104,0.992986,130697.36114789023,12.0365,0.119419,0.0055299,0.124585,1.4689e-06,1.803349815990227e-11
466.857,279.88,0.362852,0.758481,172120.7361205025,15.3916,0.300551,0.150695,0.159155,4.76864e-07,6.422355783864076e-12
709.146,371.785,0.997984,0.998,102291.0622179767,9.69123,0.210861,0.136694,0.10872,1.4689e-06,1.642435757470905e-11
436.907,366.864,0.998,0.997108,114324.77696370959,10.6902,0.276342,0.114156,0.166565,2.1423e-06,2.5026104848981258e-11
1930.52,1594.62,0.998,0.998,66361.29702192247,6.64322,0.23904,0.15096,0.105986,8.64289e-06,7.958150082243093e-11
3788.42,609.902,0.998,0.99253,63913.146204432494,6.43081,0.168995,0.0766226,0.0935526,5.48814e-06,4.9591745000509207e-11
1302.52,611.513,0.998,0.998,84978.180230157,8.23673,0.21682,0.124621,0.122941,3.60586e-06,3.7278922004135674e-11
