m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
41352.4,16720.8,-0.315628,0.989749,32867.27535512624,3.64838,0.283146,0.16355,0.131419,0.000188862,1.153306851385644e-09,7070.6945979300845,1521.109418319949,1871.601226554776,0.4778809643514548,1266.408639608436,1118.474259067149,0.6337873387348788,2378.17251013622,1266.408639608436,1118.474259067149,167.14602277526637,True,1.0,166.60610126630775,158.41929445692358
42765.7,40350.9,0.778943,-0.30165,46600.315521329336,4.90343,2.53226,2.14041,0.505277,1.18574e-05,9.0247354139913e-11,7893.769473226469,1337.1496694678294,6075.428655216892,2.5933729955692115,1690.731431733173,308.0142906202692,1.0344186970821088,3480.3147921599907,1690.731431733173,308.0142906202692,215.5884010942904,True,1.0,214.60791797046957,202.80644492186207
120355.0,95410.8,-0.181417,-0.721242,88440.0257840884,8.52942,0.176803,0.148075,0.080694,3.62675e-05,3.8155621568064336e-10,9280.735426089772,973.9034931915868,4712.25838453278,1.6292553978629682,1792.2406417331483,479.4076706183041,1.1623421579493978,3780.622990087297,1792.2406417331483,479.4076706183041,319.497845874253,True,1.0,306.84795971436785,288.17220241912656
68713.6,3199.35,-0.129378,0.702569,65758.85342718569,6.59102,0.159547,0.164554,0.0579333,0.000101397,9.294144662466435e-10,8662.716397425602,1141.1794985951296,5123.595177984657,1.877913202773108,1780.316097480879,466.2247228140466,0.5685260430214328,2171.944677376712,1780.316097480879,466.2247228140466,53.326422691350345,True,0.99,52.394831690621146,50.46163853854912
89854.6,18270.3,-0.420851,0.627206,108119.83348886718,10.1762,0.0516655,0.0641571,0.114255,0.000188862,2.158952661649569e-09,9674.114053870471,865.5995824940923,2781.0650129616643,0.7692870592422979,1571.856306070854,616.7614245048326,2.7568329586239484,6255.734621047735,1571.856306070854,616.7614245048326,103.43843157758914,True,1.0,98.9072186812202,93.95610181124287
28606.2,20390.5,-0.276655,0.339123,121169.523820177,11.2547,0.28761,0.148349,0.151764,0.000284992,3.403221626497088e-09,9887.596091310028,806.8411377928492,7855.536022772543,4.834578691774281,1346.3758820688734,165.81883348202504,2.988411776158084,6492.672251502543,1346.3758820688734,165.81883348202504,88.53603745928358,True,1.0,89.40011548960877,85.14297770418099
134637.0,1105.99,0.147397,-0.737807,161533.5703344519,14.54,0.211284,0.137499,0.160816,3.06068e-06,4.0394069672128546e-11,10394.695645717627,668.8993337012631,3564.1825021593427,1.0692028441864525,1722.490627283873,439.5439601452592,0.8096211328806738,2894.7325101603496,1722.490627283873,439.5439601452592,14.27625647189114,True,0.87,13.738111023900348,14.06772021991954
296124.0,31316.8,0.142963,0.613155,98633.1645436668,9.38575,0.149225,0.152049,0.0186215,8.66248e-06,9.543080334367074e-11,9496.970805542864,914.4232054057592,4582.021742667972,1.5565752638935462,1792.249892828067,473.239685417301,0.6588075636143099,2455.089304849439,1792.249892828067,473.239685417301,208.6390398710161,True,1.0,155.15612559206178,150.17304577610014
261098.0,54544.2,-0.644852,-0.28004,185164.73211114257,16.4361,0.0580892,0.118751,0.0926051,7.46922e-06,1.0288906496859042e-10,10619.61861374634,609.0592858349253,7388.210659387008,4.081082694581882,1454.0622736251523,185.32859747220945,1.220898765674721,3910.926043234602,1454.0622736251523,185.32859747220945,112.39730524969208,True,1.0,78.99723373032731,73.04733396488336
150099.0,42597.4,0.406526,-0.294148,131859.956470578,12.1316,0.218414,0.146425,0.111605,5.47354e-05,6.741165518799465e-10,10041.423472431234,764.6763130487703,5824.597048485836,2.382419721095986,1722.0207777350524,321.12053623953994,2.490758620662969,5956.116930013624,1722.0207777350524,321.12053623953994,242.61886512481885,True,1.0,211.84901843296996,202.597129234528
127413.0,20788.2,0.850341,0.912307,35280.817384663045,3.87271,0.22827,0.0765783,0.162235,4.45584e-05,2.853263384909503e-10,7240.49192023803,1485.927116581539,1252.1862885153282,0.3051581342980884,959.4134679055084,1228.9476756150098,1.2164081814933292,3901.085180502292,959.4134679055084,1228.9476756150098,302.2318363178356,True,1.0,296.2529614876114,284.10680491319147
121145.0,69484.7,0.975322,0.202501,122234.39585174956,11.3423,0.268571,0.111821,0.165151,1.80978e-06,2.168186206568331e-11,9903.696705780088,802.4190552636127,4707.378391439741,1.6264827278588707,1792.2746444468712,421.0170153505418,2.788458466932718,6289.320223493026,1792.2746444468712,421.0170153505418,361.12856746544094,True,1.0,337.7292025051474,325.7402180081573
489352.0,10766.2,-0.147251,0.987556,150775.94490706807,13.6708,0.114698,0.133,0.0530374,8.66248e-06,1.1175704202030312e-10,10277.281736992398,700.5263337372467,3733.379237283772,1.141583188502165,1743.2800508309724,446.0494647382276,1.7814344425663915,4969.938081567971,1743.2800508309724,446.0494647382276,32.56401059235842,True,0.96,17.417651014609564,15.951428157146424
136446.0,3564.39,0.439021,0.776475,40596.18675375297,4.36069,0.0762949,0.141636,0.0826732,0.000284992,1.9963555646878873e-09,7572.940564321565,1412.6801893639747,3611.649233778864,1.0892055572033574,1728.7189481259102,738.9517638688574,2.317475292589537,5742.852324338131,1728.7189481259102,738.9517638688574,97.20453988625565,True,1.0,94.86739669134047,91.90243845825768
77990.7,2605.2,0.672167,0.594002,122238.04388371464,11.3426,0.119655,0.144288,0.0262725,1.01048e-05,1.2106074017821907e-10,9903.751550217512,802.4039951240024,6539.190083292805,3.036295413189241,1620.0969955575188,272.597465536194,1.140270941146691,3730.3739484438,1620.0969955575188,272.597465536194,50.27210938555808,True,0.99,48.17401985896098,46.47804018796086
164392.0,31281.5,0.648565,-0.771123,91697.51639451522,8.80394,0.193119,0.136323,0.0611612,2.40093e-05,2.565485024453803e-10,9353.129088357866,954.01737345984,7342.484874534194,4.015199937345355,1464.0462975102096,205.0853216986174,2.8313941886089453,6334.275425418745,1464.0462975102096,205.0853216986174,231.82463725268383,True,1.0,222.6196764167419,218.2892501457543
116417.0,71277.7,-0.720443,-0.522266,179062.75113715793,15.9481,0.214991,0.166518,0.0673439,7.46922e-06,1.0184034226187376e-10,10565.358425850563,623.3948599459859,1954.9475690638928,0.502541009603917,1301.0943162646074,508.04579028330096,1.9705843546682795,5264.673147795345,1301.0943162646074,508.04579028330096,193.17757278945115,True,1.0,180.413978340474,170.78050485629444
