m1,m2,a1,a2,Dl_s,z_merger,alpha,beta,gamma,halo_density,d2N_dzdt,Dc_s,Da_s,Dc_l1,z_l1,Da_l1,Da_l1s,z_l2,Dc_l2,Da_l2,Da_l2s,SNR_LISAbeta,Detectable,Average_Detectability,Mean_SNR,Median_SNR
16810.0,2505.67,-0.740209,0.790868,156138.49222284643,14.1046,2.74545,1.8818,1.47771,5.18578e-06,6.768488919293995e-11,10337.148433116165,684.3708825865077,8774.508271206918,6.895167065594077,1111.3771504388126,103.45458717992256,2.718254600618221,6214.209703805735,1111.3771504388126,103.45458717992256,24.53004369557648,True,0.95,24.16593347662361,23.048041218573797
312130.0,123100.0,0.200783,-0.727289,150966.09317217863,13.6862,0.762729,1.1768,1.92765,7.51061e-06,9.693738410924832e-11,10279.452354739731,699.939559228373,3549.8699908856483,1.063216703982389,1720.551206882133,458.2248889871753,2.183419349684091,5566.741256091343,1720.551206882133,458.2248889871753,237.6577460636674,True,1.0,200.47327828228356,196.1085809864072
60412.3,4371.9,0.725367,0.543008,183683.0434407067,16.3177,1.16936,1.04641,1.23737,0.000116832,1.605445804344025e-09,10606.665056023994,612.4753896893926,7170.60963367688,3.778496465212125,1500.5995498359457,198.41291923488765,0.5201652706065842,2013.7582154284703,1500.5995498359457,198.41291923488765,54.99748580846863,True,0.99,52.5956185909313,50.76770453388361
95129.4,23686.0,-0.481341,0.919177,151058.7038851763,13.6937,1.133,1.58112,0.520752,2.00867e-05,2.5930679241843197e-10,10280.5082372157,699.6541536315359,5815.485084570487,2.3750916608694688,1723.0598924591166,303.87330372869275,3.5687099541007217,7007.46547352425,1723.0598924591166,303.87330372869275,129.73315131628857,True,1.0,105.51161269330382,100.70729126019384
205899.0,15167.2,-0.913879,0.991363,85170.89321610933,8.25305,1.40413,2.0335,1.10484,2.00867e-05,2.0787262872939038e-10,9204.62909160864,994.7670326658388,4196.423119952814,1.3563163063570096,1780.9252190083778,541.2492051438994,3.585563098490044,7020.975060373211,1780.9252190083778,541.2492051438994,77.89387737074532,True,1.0,66.89064580256496,64.8594294465178
29120.7,12001.4,-0.680501,0.11807,118036.19420973626,10.9966,1.49985,1.72933,1.32441,2.00867e-05,2.375192218726342e-10,9839.137273038716,820.1604848906119,1779.0518661456324,0.4509202539282493,1226.1541412986332,671.8641444234647,0.6294036830349756,2364.5752507364737,1226.1541412986332,671.8641444234647,66.11113234768222,True,1.0,65.02268438218846,62.44663734573941
244480.0,12831.7,0.656742,-0.146047,221312.97297058773,19.3074,1.60492,1.16543,2.56575,8.07473e-06,1.1714108337477884e-10,10898.14417259658,536.6587634358204,4112.098848603517,1.3152549876521715,1776.0889745887575,334.16613232939403,0.5176729593318543,2005.479603363331,1776.0889745887575,334.16613232939403,93.5596212007138,True,1.0,68.48611859508968,68.43567300744141
43554.0,5943.33,0.66554,0.101536,194218.71813214227,17.1583,1.42447,0.848615,1.24274,0.000146824,2.051658025635044e-09,10695.8645981255,589.0344689825314,2099.808080318626,0.5462962818698661,1357.9597322757295,473.3954452332278,0.6929388046538861,2558.1429782217424,1357.9597322757295,473.3954452332278,55.2035930780586,True,0.99,54.24936563336979,52.56327596255816
41835.0,1614.7,-0.129751,-0.0887723,85957.48577567277,8.31963,2.08311,2.55293,1.6464,0.000146824,1.525609018159406e-09,9223.27235906069,989.660786861784,3686.579726553349,1.121259477807267,1737.9202095434148,594.0893193070873,0.7924837343501586,2846.775254420235,1737.9202095434148,594.0893193070873,31.800262752655268,True,0.98,31.369433133737857,30.23882924415832
254359.0,6640.25,-0.490684,-0.100877,100415.37620536724,9.5347,1.03177,2.45386,2.79727,2.00437e-05,2.2243858158030477e-10,9531.868606165075,904.8068389384676,2785.862119852015,0.7709695247498094,1573.0717415104298,640.360569518353,0.7649576318170743,2768.6983310995656,1573.0717415104298,640.360569518353,31.26956758383087,True,0.98,31.71101849183121,32.27550976501779
